MMSI;Timestamp;Name;IMO;CallSign;Type;NavStatus;Latitude;Longitude;Speed(n);HDG(º);COG(º);Altitude(m);Destination;ETA;SourceType;Antenna;modes
605046150;2020/03/04 21:14;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,388325;3,843888;22,7;199;201;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 21:15;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,383217;3,841447;22,5;200;200,7;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 21:20;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,353872;3,826537;22,7;200;201,1;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 21:25;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,324555;3,811363;22,7;200;201,5;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 21:30;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,294715;3,796213;22,5;200;201,9;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 21:35;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,265587;3,781455;22,4;199;201,2;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 21:40;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,236555;3,766342;22,6;200;202,2;;DZ ALG;05/03-08:30;AIS Terrestre;Barcelona (Collserola);
605046150;2020/03/04 21:45;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,207765;3,75143;22,1;200;202,1;;DZ ALG;05/03-08:30;AIS Terrestre;Barcelona (Collserola);
605046150;2020/03/04 21:50;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,179098;3,736813;21,8;200;201,6;;DZ ALG;05/03-08:30;AIS Terrestre;Barcelona (Collserola);
605046150;2020/03/04 21:55;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,150373;3,722042;21,8;200;202,6;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 22:00;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,122155;3,70736;21,7;199;201,7;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 22:05;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,093952;3,692405;22;200;203,1;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
605046150;2020/03/04 22:10;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,065697;3,678162;21,7;196;198,5;;DZ ALG;05/03-08:30;AIS Terrestre;Palma (Alfabia);
605046150;2020/03/04 22:15;TASSILI II;9265419;7TDN;Barco de pasajeros;Navegando a motor;40,0367;3,666245;21,6;193;195,3;;DZ ALG;05/03-08:30;AIS Terrestre;Menorca (Monte Toro);
224498000;2020/03/05 2:51;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,38824;3,700713;18,1;131;126,9;;ES-MHN;05/03-07:00;AIS Terrestre;Barcelona (Collserola);
224498000;2020/03/05 2:51;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,385813;3,704777;18,1;130;127,3;;ES-MHN;05/03-07:00;AIS Terrestre;Barcelona (Collserola);
224498000;2020/03/05 2:56;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,370417;3,730802;18;133;128,1;;ES-MHN;05/03-07:00;AIS Terrestre;Palma (Alfabia);
224498000;2020/03/05 3:01;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,355005;3,755615;17,9;133;128,8;;ES-MHN;05/03-07:00;AIS Terrestre;Begur (Begur);
224498000;2020/03/05 3:06;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,338647;3,782187;18;133;129,9;;ES-MHN;05/03-07:00;AIS Terrestre;Begur (Begur);
224498000;2020/03/05 3:11;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,322505;3,807557;18;136;132,1;;ES-MHN;05/03-07:00;AIS Terrestre;Begur (Begur);
224498000;2020/03/05 3:16;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,305687;3,831945;18;136;132,2;;ES-MHN;05/03-07:00;AIS Terrestre;Barcelona (Collserola);
224498000;2020/03/05 3:21;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,288915;3,856233;18,1;136;132;;ES-MHN;05/03-07:00;AIS Terrestre;Menorca (Monte Toro);
224498000;2020/03/05 3:26;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,271897;3,88082;18,1;136;132,5;;ES-MHN;05/03-07:00;AIS Terrestre;Menorca (Monte Toro);
224498000;2020/03/05 3:31;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,255102;3,905682;18,4;136;130,1;;ES-MHN;05/03-07:00;AIS Terrestre;Menorca (Monte Toro);
224498000;2020/03/05 3:37;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,23799;3,931507;18,5;136;130,8;;ES-MHN;05/03-07:00;AIS Terrestre;Barcelona (Collserola);
224498000;2020/03/05 3:42;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,220995;3,956995;18,5;136;131,7;;ES-MHN;05/03-07:00;AIS Terrestre;Menorca (Monte Toro);
224498000;2020/03/05 3:47;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,204045;3,982142;18,5;136;131,2;;ES-MHN;05/03-07:00;AIS Terrestre;Menorca (Monte Toro);
224498000;2020/03/05 3:52;CIUDAD DE IBIZA;9263370;EAYW;Barco de pasajeros;Navegando a motor;40,187498;4,007072;17,6;135;131,2;;ES-MHN;05/03-07:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 4:28;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,355957;3,544582;10,5;117;112,9;;IT TAR;07/03-03:00;AIS Terrestre;Barcelona (Collserola);
247285400;2020/03/05 4:32;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,351942;3,55703;10,5;117;113;;IT TAR;07/03-03:00;AIS Terrestre;Barcelona (Collserola);
247285400;2020/03/05 4:37;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,346312;3,574625;10,5;117;112,8;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 4:42;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,34062;3,59231;10,6;116;112,7;;IT TAR;07/03-03:00;AIS Terrestre;Barcelona (Collserola);
247285400;2020/03/05 4:47;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,334812;3,610725;10,6;117;112,4;;IT TAR;07/03-03:00;AIS Terrestre;Palma (Alfabia);
247285400;2020/03/05 4:52;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,329138;3,628618;10,6;117;112,6;;IT TAR;07/03-03:00;AIS Terrestre;Barcelona (Collserola);
247285400;2020/03/05 4:57;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,323465;3,646477;10,6;117;112,5;;IT TAR;07/03-03:00;AIS Terrestre;Barcelona (Collserola);
247285400;2020/03/05 5:02;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,317913;3,664238;10,5;117;112,4;;IT TAR;07/03-03:00;AIS Terrestre;Barcelona (Collserola);
247285400;2020/03/05 5:07;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,31226;3,681937;10,5;117;112,7;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:12;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,306538;3,69965;10,6;117;113,1;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:17;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,300748;3,717428;10,7;117;113,5;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:22;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,294858;3,73535;10,7;117;113;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:27;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,289067;3,753347;10,6;116;112,9;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:32;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,283368;3,771312;10,7;117;112,4;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:37;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,277647;3,789287;10,8;117;113;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:42;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,271487;3,807813;10,8;117;113,9;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:47;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,265335;3,825828;10,8;117;113,8;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:52;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,259212;3,84398;11;117;113,8;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 5:57;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,253482;3,863023;11,3;115;109,9;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 6:02;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,24804;3,882578;11,3;115;110,1;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
247285400;2020/03/05 6:07;TOTO BR;9504279;ICFJ;Barco de carga;Navegando a motor;40,242592;3,901785;11,3;115;110,1;;IT TAR;07/03-03:00;AIS Terrestre;Menorca (Monte Toro);
224013620;2020/03/05 6:09;;;;Desconocido;Navegando a motor;40,064297;3,682342;9,6;;351,4;;;;AIS Terrestre;Menorca (Monte Toro);
